candidate,date,state,cycle,party,pct_estimate,hi,lo,days_until_election,poll_7day_avg,poll_ewa
Trump,2024-08-15,Arizona,2024,REP,44.1264,46.35604,41.917075,82,44.317592857142856,44.2994595424362
Harris,2024-08-15,Arizona,2024,DEM,45.07115,47.29702,42.853915,82,45.28299285714286,45.26858483459859
Trump,2024-08-14,Arizona,2024,REP,44.65565,46.66753,42.54167,83,44.35445,44.388523061976635
Harris,2024-08-14,Arizona,2024,DEM,45.3223,47.6890625,43.1083225,83,45.2457,45.28201602451891
Trump,2024-08-13,Arizona,2024,REP,44.8483,46.9581275,42.600215,84,44.39624285714286,44.503482693780974
Harris,2024-08-13,Arizona,2024,DEM,45.10885,47.3213175,42.685335,84,45.22212142857143,45.238718719296735
Trump,2024-08-12,Arizona,2024,REP,44.79145,46.98253,42.4700975,85,44.44258571428571,44.57548175281586
Harris,2024-08-12,Arizona,2024,DEM,45.0974,47.59059,42.6956525,85,45.204164285714285,45.203385490163974
Trump,2024-08-11,Arizona,2024,REP,44.8036,46.91188,42.531525,86,44.53092142857143,44.63251561150398
Harris,2024-08-11,Arizona,2024,DEM,44.81655,47.2394875,42.5103925,86,45.10677142857143,45.10666933109339
Trump,2024-08-10,Arizona,2024,REP,44.7732,46.9816325,42.5635525,87,44.62597857142857,44.66768869606518
Harris,2024-08-10,Arizona,2024,DEM,44.87855,47.1398775,42.67956,87,45.03705000000001,45.049636275696365
Trump,2024-08-09,Arizona,2024,REP,44.84,47.067555,42.482695,88,44.691228571428574,44.71076834769418
Harris,2024-08-09,Arizona,2024,DEM,44.40375,46.9105975,42.05846,88,44.95693571428571,44.88815786358085
Trump,2024-08-08,Arizona,2024,REP,44.79265,47.0946725,42.31304,89,44.78640714285715,44.73123941141833
Harris,2024-08-08,Arizona,2024,DEM,44.34635,46.722595,41.8636725,89,44.85339285714286,44.752701592373946
Trump,2024-08-07,Arizona,2024,REP,45.4138,47.72109,43.214505,90,44.89471428571428,44.90188362635179
Harris,2024-08-07,Arizona,2024,DEM,44.25895,46.801495,41.90397,90,44.70148571428572,44.629260751718505
Trump,2024-08-06,Arizona,2024,REP,45.3732,47.66209,43.1990475,91,44.969699999999996,45.019714826394065
Harris,2024-08-06,Arizona,2024,DEM,44.1139,46.567485,41.509955,91,44.55935,44.50041826029468
Trump,2024-08-05,Arizona,2024,REP,45.84125,48.2990275,43.4671725,92,45.11967142857143,45.22510137377862
Harris,2024-08-05,Arizona,2024,DEM,44.0405,46.893205,41.421625,92,44.40836428571429,44.385437153464615
Trump,2024-08-04,Arizona,2024,REP,45.92985,48.3564025,43.6081475,93,45.28056428571428,45.40129030219293
Harris,2024-08-04,Arizona,2024,DEM,43.9024,46.559535,41.249745,93,44.27777142857143,44.26467665066018
Trump,2024-08-03,Arizona,2024,REP,45.8463,48.25701,43.4438,94,45.433864285714286,45.51254356576564
Harris,2024-08-03,Arizona,2024,DEM,43.68015,46.34975,41.11602,94,44.10657142857143,44.118543885797685
Trump,2024-08-02,Arizona,2024,REP,45.8048,48.1189025,43.4331875,95,45.57169285714286,45.58560808763775
Harris,2024-08-02,Arizona,2024,DEM,43.7277,46.3266975,41.039215,95,44.00999285714285,44.020832361610864
Trump,2024-08-01,Arizona,2024,REP,45.8746,47.9949,43.57709,96,45.72625714285714,45.657856372250464
Harris,2024-08-01,Arizona,2024,DEM,43.54575,46.1479375,41.110085,96,43.89562142857143,43.9020612673073
Trump,2024-09-12,California,2024,REP,34.41795,36.5774975,32.1321175,54,34.41795,34.41795
Harris,2024-09-12,California,2024,DEM,58.30125,60.7091225,55.94176,54,58.30125,58.30125
Trump,2024-09-11,California,2024,REP,34.4416,36.7681725,31.9197875,55,34.429775,34.431464285714284
Harris,2024-09-11,California,2024,DEM,58.2682,60.5384025,55.867675,55,58.284725,58.28236428571428
Trump,2024-09-10,California,2024,REP,34.44575,36.8537875,32.112655,56,34.4351,34.43764189189189
Harris,2024-09-10,California,2024,DEM,58.28445,60.6136075,55.949395,56,58.28463333333334,58.28326621621621
Trump,2024-09-09,California,2024,REP,34.53585,36.7630025,32.0864025,57,34.4602875,34.473558000000004
Harris,2024-09-09,California,2024,DEM,58.4314,60.7616475,56.148575,57,58.321325,58.33744085714285
Trump,2024-09-08,California,2024,REP,34.4803,36.7231125,32.174545,58,34.46429,34.47576792573624
Harris,2024-09-08,California,2024,DEM,58.41535,60.651845,56.026445,58,58.34013,58.36297829705506
Trump,2024-09-07,California,2024,REP,34.363,36.520495,32.1697775,59,34.447408333333335,34.44147200772201
Harris,2024-09-07,California,2024,DEM,58.42355,60.7367875,56.0607625,59,58.35403333333333,58.38139986634987
Trump,2024-09-06,California,2024,REP,34.39775,36.76333,32.1352575,60,34.44031428571429,34.42885769880961
Harris,2024-09-06,California,2024,DEM,58.3598,60.700365,56.193795,60,58.35485714285714,58.37516805310982
Trump,2024-09-05,California,2024,REP,33.82485,36.3705025,31.17436,61,34.355585714285716,34.26105672997033
Harris,2024-09-05,California,2024,DEM,58.4594,61.2374225,55.933415,61,58.37745,58.39856875201357
Trump,2024-09-04,California,2024,REP,34.0168,36.3862775,31.2899275,62,34.2949,34.19503535310834
Harris,2024-09-04,California,2024,DEM,58.4507,60.9121325,55.965015,62,58.40352142857142,58.41265956854917
Trump,2024-09-03,California,2024,REP,33.93195,36.39831,31.2890825,63,34.2215,34.125339178263964
Harris,2024-09-03,California,2024,DEM,58.43325,60.97129,56.0639175,63,58.42477857142857,58.41811435458557
Trump,2024-09-12,Florida,2024,REP,48.28725,49.8901075,46.6735,54,48.28725,48.28725
Harris,2024-09-12,Florida,2024,DEM,44.19405,45.9097375,42.466485,54,44.19405,44.19405
Trump,2024-09-11,Florida,2024,REP,48.35365,50.0074625,46.77581,55,48.32045,48.32519285714285
Harris,2024-09-11,Florida,2024,DEM,44.1634,45.87085,42.3915875,55,44.178725,44.17653571428571
Trump,2024-09-10,Florida,2024,REP,48.41725,50.0034975,46.7526075,56,48.35271666666667,48.36500135135135
Harris,2024-09-10,Florida,2024,DEM,44.172,45.8577775,42.4065025,56,44.17648333333333,44.17457432432432
Trump,2024-09-09,Florida,2024,REP,48.20645,49.82885,46.5149775,57,48.31615,48.30701685714286
Harris,2024-09-09,Florida,2024,DEM,44.47295,46.37007,42.6543375,57,44.2506,44.28369457142857
Trump,2024-09-08,Florida,2024,REP,48.49015,50.4237725,46.63699,58,48.35095,48.367045134443025
Harris,2024-09-08,Florida,2024,DEM,44.0965,46.139095,42.231215,58,44.21978,44.22233501920614
Trump,2024-09-07,Florida,2024,REP,48.36205,50.21121,46.57233,59,48.3528,48.36552597267598
Harris,2024-09-07,Florida,2024,DEM,44.1209,46.1007675,42.20817,59,44.20329999999999,44.19148575883575
Trump,2024-09-06,Florida,2024,REP,48.37215,50.178875,46.509055,60,48.35556428571429,48.36743708177785
Harris,2024-09-06,Florida,2024,DEM,44.13175,46.15161,42.2276475,60,44.193078571428565,44.17425129604845
Trump,2024-09-05,Florida,2024,REP,48.4006,50.4281175,46.29341,61,48.371757142857135,48.376650159389584
Harris,2024-09-05,Florida,2024,DEM,43.67935,45.7632625,41.5092225,61,44.11955,44.03676146417973
Trump,2024-09-04,Florida,2024,REP,48.24815,50.083735,46.5131775,62,48.35668571428572,48.3419172066848
Harris,2024-09-04,Florida,2024,DEM,43.603,45.667615,41.50055,62,44.03949285714286,43.91951790205435
Trump,2024-09-03,Florida,2024,REP,48.25795,50.2495325,46.4783525,63,48.333928571428565,48.31967274096614
Harris,2024-09-03,Florida,2024,DEM,43.6115,45.67576,41.4463725,63,43.95942142857143,43.83791826413024
Trump,2024-09-02,Florida,2024,REP,48.18615,50.05209,46.20716,64,48.33102857142857,48.28482004747388
Harris,2024-09-02,Florida,2024,DEM,43.58565,45.66714,41.481665,64,43.832664285714294,43.772070091572225
Trump,2024-09-01,Florida,2024,REP,48.2052,50.2179425,46.2533875,65,48.290321428571424,48.264263891574885
Harris,2024-09-01,Florida,2024,DEM,43.55285,45.595695,41.4527825,65,43.754999999999995,43.71547225570649
Trump,2024-08-31,Florida,2024,REP,48.2305,50.071925,46.28479,66,48.27152857142857,48.255617504172854
Harris,2024-08-31,Florida,2024,DEM,43.5567,45.6043825,41.5258875,66,43.67439999999999,43.674813244926035
Trump,2024-08-30,Florida,2024,REP,47.9484,49.86321,46.0841825,67,48.210992857142855,48.17741980560172
Harris,2024-08-30,Florida,2024,DEM,43.6986,45.6105325,41.7687625,67,43.612521428571426,43.680867813685936
Trump,2024-08-29,Florida,2024,REP,47.94165,50.036725,45.821965,68,48.145428571428575,48.117679010414086
Harris,2024-08-29,Florida,2024,DEM,43.8773,45.9954,41.719815,68,43.640800000000006,43.73064100233025
Trump,2024-08-28,Florida,2024,REP,47.7661,49.82307,45.76657,69,48.07656428571429,48.02889440560708
Harris,2024-08-28,Florida,2024,DEM,43.78355,46.0389725,41.5623475,69,43.66659285714286,43.744002165282815
Trump,2024-08-27,Florida,2024,REP,47.85445,49.899,45.855265,70,48.01892142857143,47.98495299898865
Harris,2024-08-27,Florida,2024,DEM,43.705,45.9959925,41.392905,70,43.679950000000005,43.73417777453937
Trump,2024-08-26,Florida,2024,REP,47.8637,49.9439675,45.723105,71,47.972857142857144,47.954467882994734
Harris,2024-08-26,Florida,2024,DEM,43.7387,46.15415,41.217305,71,43.701814285714285,43.735314740790656
Trump,2024-08-25,Florida,2024,REP,47.8308,49.792025,45.58726,72,47.91937142857143,47.92341963146481
Harris,2024-08-25,Florida,2024,DEM,43.8599,46.3827625,41.41392,72,43.74567857142857,43.76659331022341
Trump,2024-08-24,Florida,2024,REP,47.7339,49.8343075,45.736195,73,47.84842857142858,47.87588899387321
Harris,2024-08-24,Florida,2024,DEM,43.8589,46.291945,41.5161525,73,43.788850000000004,43.78974339649754
Trump,2024-08-23,Florida,2024,REP,47.75925,49.8615525,45.772655,74,47.82140714285715,47.84665972625308
Harris,2024-08-23,Florida,2024,DEM,43.89775,46.3411225,41.5754725,74,43.8173,43.81680942144926
Trump,2024-08-22,Florida,2024,REP,47.68055,49.65573,45.59998,75,47.78410714285714,47.80505808540347
Harris,2024-08-22,Florida,2024,DEM,43.912,46.1277475,41.637985,75,43.82225714285714,43.84064959234389
Trump,2024-08-21,Florida,2024,REP,47.8357,49.873695,45.84398,76,47.794050000000006,47.812728826392075
Harris,2024-08-21,Florida,2024,DEM,43.76375,46.21416,41.6184875,76,43.81942857142857,43.82139893967528
Trump,2024-08-20,Florida,2024,REP,47.916,49.952915,45.893115,77,47.80284285714286,47.83857255116207
Harris,2024-08-20,Florida,2024,DEM,43.49375,45.520185,41.3381125,77,43.789249999999996,43.73940443218283
Trump,2024-08-19,Florida,2024,REP,47.857,49.937005,45.8552825,78,47.80188571428572,47.843182882846506
Harris,2024-08-19,Florida,2024,DEM,43.56585,45.78222,41.4569975,78,43.76455714285714,43.69598314773357
Trump,2024-08-18,Florida,2024,REP,47.862,49.9283425,45.6870575,79,47.80634285714286,47.84788981876525
Harris,2024-08-18,Florida,2024,DEM,43.27115,45.5366575,41.028225,79,43.68045,43.58971488218415
Trump,2024-08-17,Florida,2024,REP,47.78415,50.02953,45.82216,80,47.813521428571434,47.83194811586031
Harris,2024-08-17,Florida,2024,DEM,43.0756,45.3968925,40.80865,80,43.56855,43.461131731658185
Trump,2024-08-16,Florida,2024,REP,47.75665,49.8640225,45.553485,81,47.81315,47.813117608599505
Harris,2024-08-16,Florida,2024,DEM,43.1737,45.3740675,40.961105,81,43.46511428571428,43.38925097809437
Trump,2024-08-15,Florida,2024,REP,47.5564,49.6276075,45.5161475,82,47.79541428571429,47.74892292108766
Harris,2024-08-15,Florida,2024,DEM,43.20015,45.41763,40.9801875,82,43.36342142857143,43.341964474207174
Trump,2024-08-14,Florida,2024,REP,47.2731,49.410395,45.17621,83,47.715042857142855,47.629945943658434
Harris,2024-08-14,Florida,2024,DEM,43.1388,45.27926,40.9902825,83,43.274142857142856,43.29116428365117
Trump,2024-08-13,Florida,2024,REP,47.4147,49.7195675,45.0587425,84,47.643428571428565,47.576127249452654
Harris,2024-08-13,Florida,2024,DEM,42.4591,44.848265,39.9227875,84,43.12633571428572,43.08312034804773
